method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/canonical.html',b'',0,0,0,0,10,0,Good
GET,b'/',b'',0,0,0,0,11,0,Good
GET,b'/v1/',b'',0,0,0,0,10,0,Good
POST,b'/spocs',"b'{""pocket_id"":""{b9809bde-2c8a-4447-b668-cc36fad674a0}"",""version"":2,""consumer_key"":""40249-e88c401e1b1f2242d9e441c4"",""placements"":[{""name"":""sponsored-topsites"",""ad_types"":[3120],""zone_ids"":[280143]}]}'",0,20,0,3,10,0,Good
GET,b'/v1/tiles',b'',0,0,0,0,10,0,Good
GET,b'/chains/remote-settings.content-signature.mozilla.org-2024-10-28-16-16-00.chain',b'',0,0,0,0,10,0,Good
GET,b'/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US',b'',0,0,0,0,10,0,Good
GET,b'/update/6/Firefox/130.0/20240829075237/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%252010.0.0.0.22631.3958%2520(x64)/ISET%3ASSE4_2%2CMEM%3A7521/default/default/update.xml?force=1',b'',0,0,0,0,10,0,Good
GET,b'/success.txt?ipv4',b'',0,0,0,0,10,0,Good
GET,b'/success.txt?ipv6',b'',0,0,0,0,10,0,Good
GET,b'/',b'',0,0,0,0,11,0,Good
GET,b'/assets/li4a57d0tlr94tbl.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/hwe2l4kxacska65l.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/fjbhk1eyfrkqwuir.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/h48ryd80qpf6x5pr.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/manifest-1b6cdcfd.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/krn34vstdufva8gq.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/lzxdpwmkrkh5vblj.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/k80f85p7anpqiab3.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/oxplf6cxfz3c0uat.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/c8g2hx7w1rmrlb4b.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/fo6deb3nvpdgtelp.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/iqkicjco26o0vza6.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/jtlkpe7ec7miopp9.js',b'',0,0,0,0,10,0,Good
GET,b'/assets/dqfll2be0jevi4ak.js',b'',0,0,0,0,10,0,Good
