method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/feedback.jsp',b'',0,0,0,0,11,0,1
GET,b'/index.jsp',b'',0,0,0,0,11,0,1
GET,b'/login.jsp',b'',0,0,0,0,11,0,1
GET,b'/retirement.htm',b'',0,0,0,0,10,0,1
GET,b'/subscribe.jsp',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=business_cards.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=business_retirement.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside_careers.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside_investor.htm',b'',0,0,0,0,11,0,1
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,11,0,1
POST,b'/doLogin',b'uid=hii+there&passw=asdasdasdasdasd&btnSubmit=Login',0,0,0,0,11,1,1
GET,b'/search.jsp?query=%3Cscript%3Ealert%281%29%3C%2Fscript%3E',b'',0,0,0,0,11,0,1
GET,b'/search.jsp?query=%3Cscript%3Ealert(1)%3Cscript%3E',b'',0,0,0,0,11,0,1
